,raw,processed,label,predict
377,"Semua org pikiranya sama.
Survey keliling pengen tau ppkm kayak ap.
JD nya ramai https://t.co/boy6eXxJCo",orang pikiranya survey keliling tahu ppkm jadi nya ramai,0,0
378,@JamalBoegis Apa hubungannya PPKM dengan Pemasangan Sang Saka Merah Putih?,hubungannya ppkm pemasangan sang saka merah putih,1,1
379,"@EnggalPMT Akhirnyaaaaaa.. Tujuan akhir hampir trcapai,,,
Dan apkh mgk ini misi d perpanjangnya trus menerus ppkm?",tujuan akhir trcapai apkh misi perpanjangnya terus menerus ppkm,1,0
380,@DjokoSan_ @GeiszChalifah Karantinanya juga pak. Negara lain smua 14 hari:) indonesia 5 hari ppkm aja cuma 8 hari,karantinanya pak negara hari indonesia hari ppkm hari,1,0
381,"@asuhan_nemesis Bertanya dong kalo undang2 yg diberlakukan untuk pelanggar ppkm adalah undang2 karantina, nah kalo bagian yg kewajiban pemerintahnya berlaku ga ya ? Apa boleh sebagian2 di adopsi tu undang2?",bertanya undang diberlakukan untuk pelanggar ppkm undang karantina bagian kewajiban pemerintahnya berlaku iya sebagian adopsi undang,0,1
382,"@aulmaulidiana @kredivo SETELAH PPKM SELESAI AKU MAU BELAJAR SAMA MAIN BARENG TEMEN 
.
.
@kredivo",ppkm selesai belajar main bareng-bareng teman,1,1
383,"Awal WFH 
Mandi : 05.30 / 06.00

Melewati PSBB lanjut ke PPKM, mandinya jam 7.45 (dimana jam 8 lanjut meeting) 🤣",awal wfh mandi melewati psbb lanjut ppkm mandinya jam dimana jam lanjut meeting,1,1
384,Hr pertama perpanjangan PPKM dan tol macet..,hari pertama perpanjangan ppkm tol macet,0,1
385,"ini sumpah pantat gua bakal menyatu sama kasur , tangan gua melebur di meja lipet jari stuck di keyboard kalo ppkm ga kelar kelar anj. https://t.co/NgVb7G63yX",sumpah pantat bakal menyatu kasur tangan melebur meja lipet jari stuck keyboard ppkm kelar kelar anjing,0,0
386,@seoyneon lagi ppkm ga boleh berisik 🙏,ppkm berisik,1,1
387,ppkm darurat diperpanjang sampai jangan kemana-mana tetap di OVJ,ppkm darurat diperpanjang kemana tetap ovj,1,1
388,@EcaClarisa Dugem PPKM 👍,dugem ppkm,1,1
389,@RlOSEANNE OHIYE HARUSNYA 24/7/12/365 makasih kak revisinya sangat membantu usaha mikro di tengah PPKM,ohiye terima kasih kak revisinya membantu usaha mikro tengah ppkm,2,1
390,@RamliRizal PPKM. Jgn Adu Pilnati Dech,ppkm adu pilnati deh,1,1
391,"Sabtu pagi, weekend masih ppkm keluar motoran buang jenuh liat jalanan sepi cuaca agak cerah pengin tak nikmati ke halang baliho, sial!",sabtu pagi weekend ppkm keluar motoran buang jenuh lihat jalanan sepi cuaca cerah pengin nikmati halang baliho sial,0,0
392,"@ABSetyono @jokowi @KSPgoid @kemkominfo @PlateJohnny Kalau masyarakat nya mau di atur,  mungkin perpanjangan PPKM tidak akan terjadi. 
@PlateJohnny @kemkominfo",masyarakat nya atur perpanjangan ppkm terjadi,0,0
393,"Denger2 mau ada rencana PPKM 6 minggu? lama2 umkm kolaps, 2 minggu PPKM aja keuangan bisnis udah kacau banget. 

Pemerintah ini bukan kelewat bodoh, tapi emang jahat aja sih udah fix. 

Bansos buat lockdown aja ga dikasih, tapi bansos untuk dikorupsi selalu ada, ga habis-habis 👎",dengar rencana ppkm minggu umkm kolaps minggu ppkm keuangan bisnis kacau banget pemerintah kelewat bodoh jahat sih fix bansos lockdown dikasih bansos untuk dikorupsi habis habis,0,0
394,"@rahung - Sembako kena ppn 12%
- Pelanggar prokes (khusus rakyat jelata) denda 5jt
- PPKM sekedar bongkar2 warung kecil, club malam dan panti pijet jalan trus.
- Vaksin harus beli, klo mau gratisan ngantri itu pun kualitas KW
- TURIS disambut dengan meriah alasannya sdh sesuai prokes",sembilan bahan pokok kena ppn pelanggar prokes khusus rakyat jelata denda juta ppkm sekedar bongkar warung club malam panti pijet jalan terus vaksin beli gratisan mengantri kualitas imitasi turis disambut meriah alasannya sesuai prokes,0,0
395,Ppkm please cepatlah berlalu🥲 https://t.co/ZVexpNESiP,ppkm tolong cepatlah berlalu,0,0
396,ppkm diperpanjang smpe jeya hyunjae mnkh,ppkm diperpanjang jeya hyunjae mnkh,1,1
397,@panjiyodantara Dia pikir ppkm itu untuk seluruh dunia hahaha,pikir ppkm untuk dunia hahaha,1,2
398,@skjinapple Sabi tpi ppkm dijogja nih,sabi ppkm dijogja,1,1
399,"@Andiarief__ Hehehe ... pemberlakuan PPKM sebenarnya unk kita semua, agar virus ini tdk berkembang, dan ini berlaku dunia bukan hanya indonesia. Jika anda mau cepat menemui 72 bidadari ya bebas sj",hehehe pemberlakuan ppkm untuk virus berkembang berlaku dunia indonesia cepat menemui bidadari iya bebas,2,0
400,"PENERBANGAN TKA CHINA, DARI WUHAN KE BANDARA SOETTA, DIMASA PPKM DARURAT JAWA BALI. PASTI ULAH MENTERI SEGALA URUSAN. https://t.co/X7ooHNwgqc",penerbangan tka china wuhan bandara soetta dimasa ppkm darurat jawa bali ulah menteri urusan,0,0
401,PPKM BODO AMAT https://t.co/vLzTnu41Z3,ppkm bodo,0,1
402,"Kita negara Besar, apa yg di lakukan pemerintah tentunya sudah di perhitungkan masak masak dn kordinasi dengan beberpa pihak terkait. Keputusan PPKM sudah tepat untuk menekan krisis kesehatan yg melanda dunia

#PPKMSuksesKendalikanPandemi https://t.co/YRgHkGQLpU",negara besar lakukan pemerintah perhitungkan masak masak kordinasi beberpa pihak terkait keputusan ppkm tepat untuk menekan krisis kesehatan melanda dunia,2,2
403,Ada yg tau kolam renang selain Kodam atau Tirta yg buka selama ppkm?? #gaymakassar,tahu kolam renang kodam tirta buka ppkm,1,1
404,Ppkm gk ppkm pancet gas kok🙈,ppkm gak ppkm pancet gas,1,1
405,"PPKM Darurat memang harus dilakukan secara kebersamaan, hal tersebut untuk memutus mata rantai virus. 
Perlu pemahaman semua pihak untuk bisa mengendalikan diri sehingga semuanya bisa saling menghindari penularan.

#PatuhProkesHargaMati https://t.co/QPYhFEnb51",ppkm darurat dilakukan secara kebersamaan untuk memutus mata rantai virus perlu pemahaman pihak untuk mengendalikan menghindari penularan,2,2
406,"@__AnakKolong Ini orang tahu nggak tujuan PPKM? Yang diminta untuk membatasi ibadah dan BUKAN MELARANGNYA. 

Yang dia batasi malah cara make OTAKNYA, dan disuruh membangkang! 

Kesannya relijius tapi nggak PINTER BLASSS",orang tahu tujuan ppkm diminta untuk membatasi ibadah melarangnya batasi cara memakai otaknya disuruh membangkang kesannya relijius pintar sama sekali,0,0
407,Ppkm diperpanjang sampek patung garudo alun alun ngendog,ppkm diperpanjang patung garudo alun alun ngendog,1,1
408,"Minggu yang Cerah, tetap semangat meski PPKM https://t.co/V2WgSyolM6",minggu cerah tetap semangat ppkm,2,2
409,Efek PPKM... https://t.co/w15Te5XCVb,efek ppkm,1,1
410,"PPKM
Pelan
Pelan 
Kita 
Menang, 
Langkah pasti Nastiti lan ngati-ati, pasti keMENANGan kita dapatkan
Insyaallah. Aamiin",ppkm pelan pelan menang langkah nastiti lan ngati ati kemenangan dapatkan insyaallah amin,2,1
411,@byunohsarang Gw udah pernah offline 😎 tp ini ppkm jadi daring dulu,oflen ppkm jadi online,1,1
412,"@txtorangdalam @HeyBudie sabar, PPKM merubah otak saya dikit",sabar ppkm merubah otak dikit,1,1
413,@FanbasePemuda Lagi ppkm darurat sempet sempetnya senyum senyum,ppkm darurat sempetnya senyum senyum,1,1
414,"PPKM di perpanjang tiap minggu
Udah kayak anime aja tiap minggu rilis",ppkm perpanjang minggu anime minggu rilis,1,1
415,"@TAN_10_ Pembuluh darahnya ngapain ngumpul2 ya, padahal ppkm &amp; socdis 😔",pembuluh darahnya sedang apa berkumpul iya ppkm amp socdis,1,0
416,PPKM nih semakin diperpanjang semakin keliatan cuman formalitas doang.,ppkm diperpanjang kelihatan formalitas doang,0,0
417,"@TimpalBali selema pemerintah bisa memenuhi kebutuhan pokok masyarakat, internet dan menunda pembayarannya kredit bank sampe ppkm selesai, boleh lah ppkm sampe 3bulan.",selema pemerintah memenuhi kebutuhan pokok masyarakat internet menunda pembayarannya kredit bank ppkm selesai ppkm bulan,0,0
418,"Aku ketemu 2 orang hebat kemarin. 1) driver ojol 2) mang Yana, produsen ladu yg sementara beralih profesi jadi pengamen ukulele. Mereka ber2 saya tanya tentang PPKM jawabannya, ""Alhamdulillah, dijalani disyukuri."" ga merinding gimana gue, https://t.co/koQ2lCvtZG",ketemu orang hebat kemarin driver ojol yana produsen ladu beralih profesi jadi pengamen ukulele ber tanya ppkm jawabannya alhamdulillah dijalani disyukuri merinding,2,1
419,@bertanyarl Oke kita terima klarifikasi nya tapi tetep harus ditindak lanjuti pedagang yang lagi jualan pas ppkm aja di denda  masa ini gaaa,oke terima klarifikasi nya tetap ditindak lanjuti pedagang jualan pas ppkm denda masa,0,0
420,@mydaisysix karna kalo kaya gitu berdasarkan uu karantina mereka harus tanggung jawab ngasih makan warga + hewan ternak yang terdampak lockdown nad. nah pemerintah gamau gt makanya pake strategi ppkm berjilid jilid,kayak berdasarkan uu karantina tanggung jawab memberikan makan warga hewan ternak terdampak lockdown nad pemerintah gak mau pakai strategi ppkm berjilid jilid,0,0
421,Lagi ppkm gini dideket rumah banyak banget yang pasa tenda janur kuning🙃 yang miskin diem aee hahahaa💃💃,ppkm dideket rumah banget pasa tenda janur kuning miskin diam hahahaa,0,0
422,"Perpanjangan PPKM level 4 mempertimbangkan berbagai aspek guna mencegah penyebaran kovid

#TetapWaspadaCovidMasihAda https://t.co/0iCdwFr8i5",perpanjangan ppkm level mempertimbangkan berbagai aspek guna mencegah penyebaran kovid,2,2
423,"sedih itu disaat ppkm gajelas dan korona tidak terkendali, Nenek sendiri meninggal tapi posisinya diluar kota 😭😭😭😭😭😭😭 ya Allah Innalillahi semoga mimi Husnul Khotimah 🤲🏻",sedih disaat ppkm enggak jelas korona terkendali nenek meninggal posisinya diluar kota iya allah innalillahi semoga mimi husnul khotimah,0,0
424,Ppkm rudet,ppkm rudet,0,1
425,"@Flufffyyys Masih, sampe tanggal 25 ppkm nya",tanggal ppkm nya,1,1
426,"dari semarang, melipir dulu ke jogja. yok tebak ini jalan apaan? edisi ppkm 🙈

enaknya dinas luar kota atau luar pulau adalah selain kerja, kita bisa wisata https://t.co/DVP0V44yy7",semarang melipir jogja yuk tebak jalan edisi ppkm enaknya dinas luar kota luar pulau kerja wisata,1,1
427,"Assalamualaikum wr wb
Met pagi warga Tl met beraktivitas tetap disiplin prokes, taati PPKM, dg Semangat MERAH PUTIH✊✊✊ https://t.co/4rvxvUtR8f",menjadi seseorang alamualaikum wr wb selamat pagi warga timeline selamat beraktivitas tetap disiplin prokes taati ppkm semangat merah putih,2,2
428,"@mekaliana53 LDR + PPKM, aku bisa apa siss",hubungan jarak jauh ppkm sih,1,1
429,"Kedelapan kabupaten yang menerapkan PPKM Level 3 adalah Sampang, Kabupaten Pasuruan, Pamekasan, Pacitan, Kabupaten Probolinggo, Tuban, Jember dan Bojonegoro",kedelapan kabupaten menerapkan ppkm level sampang kabupaten pasuruan pamekasan pacitan kabupaten probolinggo tuban jember bojonegoro,1,1
430,":Cokkk ppkm asuuu. Kucingku jadi meninggal gegara pada tutup dokter hewan""

Rest in peace timmy😭😭😭😭😭",cok ppkm asu kucingku jadi meninggal gara-gara tutup dokter hewan rest peace timmy,0,0
431,"@Zahrah40291660 @PutraWadapi kelaparan mendera mulai mendera, karna usaha di tutup (dibubarkan) saat PPKM nggak dikasih makan...",kelaparan mendera mulai mendera usaha tutup dibubarkan ppkm dikasih makan,0,0
432,agak sayang sih tryt beberapa oknum aparat ga ngerti kebijakan PPKM juga jadi asal tutup tempat usaha aja,sayang sih tryt oknum aparat mengerti kebijakan ppkm jadi asal tutup tempat usaha,0,0
433,PPKM diperpanjang sampe Arsenal berhenti ngelawak.,ppkm diperpanjang arsenal berhenti melawak,1,1
434,@sukujawaa Tapi kan ppkm,ppkm,1,1
435,Ppkm terus:( padahal bulan depan tgl 1 gue dipanggil kerja. Tapi penyektan gini gimana gue mau balik nyebrang pulau😭 sumpah galau banget,ppkm terus bulan tanggal dipanggil kerja penyektan balik nyebrang pulau sumpah galau banget,0,0
436,@kookcyxie ppkm pastii,ppkm,1,1
437,"@GuyonWaton @nikenbil Ga berani nerapin Lockdown karena ga sanggup biayain,tapi pakai istilah baru PPKM yang mirip sama Lockdown.",berani menerapkan lockdown sanggup biayain pakai istilah baru ppkm mirip lockdown,0,0
438,Pensiun sementara dulu ya smpai PPKM selesai 😔 https://t.co/2nCj4LXoQz,pensiun iya ppkm selesai,0,1
439,"@gaga10740908 Haha bisa pagi siang sore, ppkm kan jam 6 sore ke bawah",tertawa pagi siang sore ppkm jam sore bawah,1,1
440,"Mereka udah gak ngantuk. Lapar.
Ngajak temennya nyari makan pagi2.  Ngajak cepet2  berangkat sebelum dicegat oleh petugas PPKM. https://t.co/17pE40Xdhs",ngantuk lapar mengajak temannya mencari makan pagi mengajak cepat berangkat dicegat petugas ppkm,0,0
441,Kita d suruh makan buah trus uang buat beli buah dari mana pak presiden sementara bapak lanjutkan ppkm #DayaRusakJokowiLuarbiasa https://t.co/kqZ7voX6Cw,suruh makan buah terus uang beli buah pak presiden bapak lanjutkan ppkm,0,0
442,"Pemilik mall mah meskipun juga kena PPKM, tapi tabungannya di bank untuk membuka lahan, membangun mall lagi masih cukup",pemilik mall mah kena ppkm tabungannya bank untuk membuka lahan membangun mall cukup,1,0
443,"@YogiAnandia ""ppkm diperpanjang"" ~Katanya",ppkm diperpanjang katanya,1,1
444,@sigitraditya_ Siiip.. Ppkm dulu,sip ppkm,1,1
445,"@Kilo11_40N74W @4nneve @Wedhus999 Tidak merubah fakta:
Semakin BEBAL semakin panjang PPKM nya.

Ini yg harusnya kamu SOROTI.

Negara rakyat bintang 3 tidak bisa menuntut fasilitas bintang 5.

Seluruh dunia kena pandemi.

MANA NYINYIRMU UNTUK SEBAGIAN RAKYAT YG BEBAL?

Otak ada?

Jangan KHIANATI BANGSA-MU",merubah fakta bebal panjang ppkm nya soroti negara rakyat bintang menuntut fasilitas bintang dunia kena pandemi nyinyirmu untuk sebagian rakyat bebal otak khianati bangsa mu,0,0
446,Kmrin keluar dari zona merah tb tb boom ppkm :( bapak jg gbisa ga ngikuti pemerintah y pak:(,kemarin keluar zona merah tb tb boom ppkm bapak gbisa ngikuti pemerintah pak,0,0
447,"@CNNIndonesia ppkm ekstra pedas.,. https://t.co/1ry39vhQSv",ppkm ekstra pedas,1,1
448,@BossTemlen @jokowi Siap melakukan PPKM level selanjutnya...😊,siap melakukan ppkm level selanjutnya,2,1
449,"@ganjarpranowo PPKM diperpanjang sampai tanggal 6 Agustus, dan jika hasilnya sama aja maka akan diadakan adu penalti",ppkm diperpanjang tanggal agustus hasilnya diadakan adu penalti,1,1
450,@addiems Efek dari ppkm retangga ya? 🤦‍♂️,efek ppkm retangga iya,1,1
451,"Salat berjemaah untuk umum sementara ini ditiadakan selama PPKM Darurat ya, Tapi untuk adzan masih tetap dikumandangkan",salat berjemaah untuk umum ditiadakan ppkm darurat iya untuk adzan tetap dikumandangkan,1,2
452,Plonga Plongo Koq Mimpin.... ppkm,plonga plongo mimpin ppkm,0,1
453,"Haloooo ppkm darurat mau bkin klaster baru kah? Sebanyak ini kah sektor kritikal? Ada yg bs jawab, punten up min @jalur5_ @CommuterLine @Dessyssss 
Yg nanya gw, yes gw sektor kritikal ga ada ttd gw obat ga bs keluar 😭😭😭 https://t.co/T0InjzQJUm",halo ppkm darurat bikin klaster baru kah kah sektor kritikal jawab punten up min tanya yes sektor kritikal ttd obat keluar,0,1
454,"@bertanyarl Di rmh, Ppkm nder",rumah ppkm brother,1,1
455,@jejee_pjs Hshshsh sekolahmu gak ppkm?,hshshsh sekolahmu ppkm,1,1
456,"Di Sumbar PPKM jg kak, se Indonesia kena keknya. 

Rakyat gk boleh kemana² tapi suruh berjuang sendiri utk tetap bisa makan https://t.co/gcRG8ZX2Tj",sumbar ppkm kak indonesia kena kayaknya rakyat gak kemana suruh berjuang untuk tetap makan,0,0
457,"Setelah PPKM nanti ada yang namanya PPKN setelah itu PAI, PENJAS, MTK, IPS, IPA dan masih banyak lagi yang lainnya 😅",ppkm namanya ppkn pai pendidikan jasmani matematika ips ipa,1,1
458,Fix gagal try out ke Bali karna ppkm di perpanjang,fix gagal try out bali ppkm perpanjang,0,1
459,@Irwan2yah @kemenhub151 @KemenkesRI @BNPB_Indonesia Klu sekarang ppkm bener pegawai nya ..harus ada surat pengantar kerja,ppkm benar pegawai nya surat pengantar kerja,1,0
460,"PPKM diperpanjang hingga 9 Agustus 2021 mendatang. Syarat perjalanan pun tak banyak berubah dari sebelumnya.

 https://t.co/Op8whsxLe5",ppkm diperpanjang agustus mendatang syarat perjalanan berubah,1,1
461,"@Unsoedfess1963 Sama, malah waktu ppkm ini kampusku ga nerima bimbingan (dosennya kudu offline ga nerima online) jadinya nunggu tgl 20:(",waktu ppkm kampusku menerima bimbingan dosennya oflen menerima onlen jadinya menunggu tanggal,1,1
462,"Nih yah makin ngeyel ni, pemerintah ntar makin lama nerapin ppkm nya, udah cape tau ih dua taun ini idup segala dilarang. Yuk mending kita patuhin aja prokes, pake masker doang sama jangan berkerumun pliss. Bisa ko bisa, biar covid ini cepet beresnya yuk 😔",ya ngeyel pemerintah menerapkan ppkm nya lelah tahu ih dua tahun hidup dilarang yuk lebih baik patuhin prokes pakai masker doang berkerumun pli covid cepat beresnya yuk,2,2
463,Jog beli dried flower yg tokonya buka pas ppkm gini dimana ya?,jog beli dried flower tokonya buka pas ppkm dimana iya,1,1
464,@atikamldd Ppkm dirumah tik,ppkm dirumah tik,1,1
465,kan ppkm https://t.co/xsx0Cxx26u,ppkm,1,1
466,"@tempodotco Tempo sekali sekali bahas DO sopir2x truk Jalarta Surabaya turun drastis selama PPKM.

Ngapain ngurusin KAI. Turun ga turun penumpangnya, tetap saja gajian.
Sopir ga narik, ga makan.

Emoatilah sedikit lah sama rakyat kecil.",tempo bahas sopir truk jalarta surabaya turun drastis ppkm sedang apa mengurusi kai turun turun penumpangnya tetap gajian sopir menarik makan emoatilah rakyat,0,0
467,NGAKAK...!! Tambal Ban Online PPKM Darurat Begini Jadinya... https://t.co/646QDzgbbK https://t.co/yO6Apz0wJC,tertawa tambal ban onlen ppkm darurat jadinya,1,1
468,@itsvirhere msi ppkm cuy,ppkm cuy,1,1
469,di jakbar seperti tdk ada ppkm,jakbar ppkm,0,1
470,nyatanya ppkm ah sudahlah,nyatanya ppkm ah,0,1
471,"Assalamualaikum wr wb
Met pagi warga TL met weekend bersama keluarga tercinta, tetap disiplin prokes, PPKM dg Semangat MERAH PUTIH✊✊✊ https://t.co/jzzLes7s15",menjadi seseorang alamualaikum wr wb selamat pagi warga timeline selamat weekend keluarga tercinta tetap disiplin prokes ppkm semangat merah putih,2,2
472,dia gatau kali ya sebulan ppkm bisa bikin org di cut. kntl.,enggak tau kali iya sebulan ppkm orang cut kntl,0,0
473,@mohmahfudmd Saya kira pada masa PPKM itu juga WFH dan sisanya diisi baca buku atau meningkatkan kualitas diri. Ternyata buat nonton Sinetron ya Prof. Hehehe... asyik juga teladan pemimpin di negeri ini. Banyak rakyat yg menderita suara jeritnya tak terdengar. Itu bukan Sinetron !!!.,kira masa ppkm wfh sisanya diisi baca buku meningkatkan kualitas ternyata menonton sinema elektronik iya prof hehehe asyik teladan pemimpin negeri rakyat menderita suara jeritnya terdengar sinema elektronik,0,0
474,"Kata Gubernur Jatim, PPKM Darurat ini dilakukan untuk menekan mobilitas masyarakat agar penyebaran virus juga bisa ditekan",kata gubernur jatim ppkm darurat dilakukan untuk menekan mobilitas masyarakat penyebaran virus ditekan,2,2
475,Rizal Fadillah: PPKM Darurat Siasat Licik Rezim Hindari UU Kekarantinaan Yang Mewajibkan Beri Makan Warga https://t.co/CyeN0wh3YG,rizal fadillah ppkm darurat siasat licik rezim hindari uu kekarantinaan mewajibkan beri makan warga,0,0
476,capaian vaksin masih rendah makanya ppkm diperpanjang terus ya?,capaian vaksin rendah ppkm diperpanjang terus iya,1,0
477,"Pak @jokowi maaf pak, PPKM ini mrmbunuh temen2 kami yg tidak berpenghasilan. Jika mmg tidk ada bantuan, mohon di cabut PPKM ini pak. Saya sedih liat temen2 ga bisa jualan seperti sedia dulu.",pak maaf pak ppkm mrmbunuh teman berpenghasilan tidk bantuan mohon pergi ppkm pak sedih lihat teman jualan sedia,0,0
478,Selintas kepikiran “apa bakal ada demo gede gt menentang ppkm dan korona tai ini”,selintas terpikirkan bakal demo gede menentang ppkm korona tahi,0,0
479,"Ingin buryam di pinggir jalan margonda depan gang, tp smnjak ppkm ga jualan mele :(",buryam pinggir jalan margonda gang semenjak ppkm jualan mele,0,0
480,"Libur telah tiba, libur telah tiba.. 
Tapi ppkm..... 

#PpkmDiperpanjang https://t.co/epLRR8J5zz",libur tiba libur tiba ppkm,1,1
481,@taeshirtless kenapa? ppkm yh?,ppkm ya,1,1
482,"@doni_andalas Iya sama mas, semenjak ppkm dan virus jadi susah ktm beliau, cuma bisa lewat layar hp. Kirim do'a untuk beliau.",iya mas semenjak ppkm virus jadi susah ktm beliau lewat layar handphone kirim untuk beliau,0,0
483,Kepikiran di korea paham PPKM gaksih,terpikirkan korea paham ppkm gaksih,1,1
484,"Hri ni avail yah , ada rate promo khusus ppkm loh😘 yuk gercep dijapri lewat dm beb 🥰 #bolampung #availlampung https://t.co/bqa7TWf7fH",hari avail ya rate promo khusus ppkm loh yuk gercep dijapri lewat dm sayang,2,1
485,Suka banget walaupun ga bakal main karna ppkm juga ya minimal ada bahan cuci mata 🤩,suka banget bakal main ppkm iya minimal bahan cuci mata,1,1
486,@geloraco @erna_st PPKM.. Petugas Pedagang Kembali Mumet,ppkm petugas pedagang kembali pusing,0,0
487,"Pukul 20:53 tadi malam, jalan arah kota Yogyakarta di tutup, 
~ Konsisten PPKM ~ https://t.co/hyxDTezagR
|@merapi_uncover",pukul malam jalan arah kota yogyakarta tutup konsisten ppkm,2,0
488,"Kejam ke rakyat kecil, santun ke koruptor &amp; TKA....
Nggak kasih dana lockdown, tapi memalak dendanya ....

MIRIS! Usai Tukang Bubur, Giliran Penjual Bakso Didenda 5 Juta karena Langgar PPKM Darurat | PORTAL ISLAM https://t.co/Q0XY1YT3Y8",kejam rakyat santun koruptor amp tka kasih dana lockdown memalak dendanya miris usai tukang bubur giliran penjual bakso didenda juta langgar ppkm darurat portal islam,0,0
489,ppkm; pagi pagi kena mental,ppkm pagi pagi kena mental,0,1
490,@Sukirno08192311 Mayan. Ppkm darurat,lumayan ppkm darurat,1,1
491,"@adityajuliannn ppkm mulu, kapan ya yg virtual bisa ketemu?",ppkm terus iya virtual ketemu,1,1
492,PPKM sukses membatasi dn mencegah lonjakan kopit. Tapiii kita harus #TetapProkesJanganKendor . Ayo jangan abai jangan lengah. Kopit terus mengintai. https://t.co/n2xKenrCAX,ppkm sukses membatasi mencegah lonjakan kopit ayo abai lengah kopit terus mengintai,2,0
493,"Jangan sia-siakan kerja keras semua aparat hukum n satgas PPKM Darurat.

#TegasTegakkanPPKMDarurat https://t.co/Nmu0qi3CgK https://t.co/CPfx3HWsco",sia siakan kerja keras aparat hukum satgas ppkm darurat,2,0
494,@Nortylop4 ppkm haha,ppkm tertawa,1,1
495,"@Rizmaya__ @SBYudhoyono @PDemokrat Sby merasa, pemimpin udah mulai melenceng, makanya perlu bimbingan. Dan negara udah mulai hancur, makanya perlu di selamatkan. Kasus meninggal dan yg terpapar masih tinggi, padahal ppkm darurat berlevel level. Tinggal nunggu para buzzer mati, https://t.co/5c4G2Dh6HJ",surabaya merasa pemimpin mulai melenceng perlu bimbingan negara mulai hancur perlu selamatkan kasus meninggal terpapar tinggi ppkm darurat berlevel level tinggal menunggu buzzer mati,0,0
496,"@chumaidijusuf @KodokNg11760053 @tsetiady Makanya, selama pemerintah tidak bisa menjamin vulnerable class, maka selama itu juga ppkm ga viable, malah bikin chaos",pemerintah menjamin vulnerable cla ppkm viable chaos,0,0
497,"Nonton berita pagi ini, trus ngeliat di suatu daeraj warganya nyerah sama PPKM sampe ngibarin bendera putih, refleks gue nangis :"" akhir akhir ini emosional bgt, kondisi udh buruk dimana2, jd gampang nangis",menonton berita pagi terus melihat daeraj warganya nyerah ppkm ngibarin bendera putih refleks menangis akhir akhir emosional banget kondisi udah buruk dimana jadi gampang menangis,0,0
498,"Disini ada yg ngotot minta lockdown &amp; menolak PPKM. Di negara demokrasi berbeda pendapat bhkn protes itu biasa, yg tdk biasa itu memaksakan kehendak, seakan opininya paling benar. Pengambil kebijakan hrs memilih yg plg rasional dan sesuai keadaan. https://t.co/moxz2ArJBj",ngotot meminta lockdown amp menolak ppkm negara demokrasi berbeda pendapat protes memaksakan kehendak seakan opininya benar pengambil kebijakan memilih rasional sesuai keadaan,1,0
499,"@uciyame @bertanyarl Nnti aj sayank, klou dh selese ppkm, trusna kalo ak udh pasang wifi. Ak kabarin kok😘",aja sayank klou deh selese ppkm trusna udah pasang wifi kabarin,1,1
500,@mepteor ppkm cum,ppkm cum,1,1
501,"Kok ga lancar bahasa banjar padahal udah 2 tahun disana, hmmm kau dengerkan sendiri lah ajg mereka ngomong pake bahasa apa bajingan..

*sebelum ppkm waktu gada wuhan kntl https://t.co/VawvUzN0kv",lancar bahasa banjar tahun disana hm dengerkan anjing bicara pakai bahasa bajingan ppkm waktu tidak ada wuhan kntl,0,0
502,"@abu_waras Menghindari kata hoax gunakan jurus disinformasi...,menghindari lockdown gunakan jurus pspb,ppkm dllnya ..ancuuurrr",menghindari kata isu bohong gunakan jurus disinformasi menghindari lockdown gunakan jurus pspb ppkm dllnya hancur,0,0
503,"Yang diributin pas PPKM : BKN soal cari makan susah tapi soal mo punya uang lebih susah, mo punya motor baru susah, mo liburan susah.

Kalau tiap rumah sisihkan sepiring nasi + lauk utk yg blm makan aja, ga akan ada org kelaparan di lingkungan rumah itu. #KapanGaSerakah",diributin pas ppkm soal cari makan susah soal punya uang susah punya motor baru susah liburan susah rumah sisihkan sepiring nasi lauk untuk makan orang kelaparan lingkungan rumah,0,0
504,"@pasarbighit dulu aku sehari nyampe, gatau sekarang kan ppkm",sehari enggak tau ppkm,1,1
505,"PPKM di kab timika papua  aparat  tidak berani menindak para pesabung ayam yg beraksi setiap hari.,  sementara t4 usaha yg halal harus menelan ludah...👎👎
https://t.co/YOHqqa1SSO",ppkm kabupaten timika papua aparat berani menindak pesabung ayam beraksi hari usaha halal menelan ludah,0,0
506,"ppkm ga kelar-kelar, malah hubunganku yg kelar",ppkm kelar kelar hubunganku kelar,0,1
507,"Terbukti penurunan Kasus Positif /angka harian telah menurun dm sejak PPKM di berlakukan. Maka,smestiya kita mendukung upaya terkait diberlakukan nya PPKM yg kjni di perpanjang  hinga 9 Juli nanti. 
#TetapProkesJanganKendor https://t.co/0oWenY95t1",terbukti penurunan kasus positif angka harian menurun dm ppkm berlakukan smestiya mendukung upaya terkait diberlakukan nya ppkm kjni perpanjang hinga juli,2,2
508,"@IvoneHall @TehKitaAja Apalagi situasi ppkm gini dijamin lebih bringas 😂😂😂🤭🙈,",situasi ppkm dijamin bringas,0,1
509,@sbyfess Efek ppkm rakuat bayar gaji messi,efek ppkm rakuat bayar gaji me,0,0
