ID,Tweet,Class
189,"Cari pijat berpengalaman?

Di @pijat_rasadispa siap melayani dengan sepenuh hati☺

✅ Protokol kesehatan
✅ Privasi terjamin
✅ Terapis Pria Profesional
✅ Harga terjangkau

Info &amp; Reservasi
WA https://t.co/bqtdO8I6z4 

Selama Masa PPKM saya membatasi hanya 1 outcall https://t.co/4QTma2E7pK",3
190,@fdllauliarhm Wkwkwkwkwk lets see apakah bener2 ppkm atau engga mamm🙃🙃,2
191,@RieGucciano Kalau hasil panen kena ppkm engga yah?,2
192,@RizkiAsihan menghindar dari LOCKDOWN &gt; PSBB &gt; lalu &gt; PSBB transisi &gt; lalu &gt; PSBB total &gt; lalu &gt; PPKM &gt; lalu &gt; PPKM mikro &gt; lalu &gt; PPKM darurat &gt; lalu apa lagi....,2
193,"@HeriSuwondo2 Ya harusnya cukup 14 hari isoman, PPKM.jawa bali.",2
194,Ppkm membunuh ekonomi 😥 https://t.co/Iwhg66POya,1
195,"Jokowi: Selama PPKM Darurat, WFH 100%, Mal Tutup

Luhut : Ancam Berhentikan Kepala Daerah yg abai Aturan PPKM.

Gibran : Mal Tetap buka selama  PPKM Darurat, Beda dengan Pusat.

Keren kan Anak Pak Lurah ! beda sendirian, 
ini baru dkasih jbatan walikota lho ! https://t.co/06Cq8xKd7m",1
196,"@monika_monika77 Aq blm mutual kk
Krn skrng PPKM...jd konsentrasi d rmh sj jg working WFH...demi menghindari Covid
SALAM SEHAT..yaaa
SELAMAT PAGI ..yaa",3
197,"PPKM mematahkan segalanya:"")",1
198,"@PT_Transjakarta min mau tanya, selama PPKM Darurat ini jam operasional malam nya sampai jam berapa ya?",2
199,Mematuhi PPKM Mikro Darurat tujuannya menyelamatkan semua...!!!!,3
200,ni dampak pengumuman ppkm 3-20 juli sepertinya. makanya pada nimbun 🤔 tp setuju sih. Marketing aja sm dulu emg dijualnya di toko obat cina makanya sampe sekarang pd percaya https://t.co/iNZ9eq3Gbv,1
